iter	RMSE
127	4.382742711
128	4.379665224
129	4.372909852
130	4.36128979
131	4.352757418
132	4.347515186
133	4.344665671
134	4.343949876
135	4.334327531
136	4.315297756
137	4.305746085
138	4.299896748
139	4.290449581
140	4.282527051
141	4.274481246
142	4.265098482
143	4.263390849
144	4.251150328
145	4.249270731
146	4.242382201
147	4.23581007
148	4.216302543
149	4.207954399
150	4.198156164
151	4.193085386
152	4.19077093
153	4.182017037
154	4.173467606
155	4.167400774
156	4.166461705
157	4.162697378
158	4.153972804
159	4.145586264
160	4.138289513
161	4.134950215
162	4.131515442
163	4.119029061
164	4.111408894
165	4.10296338
166	4.098914799
167	4.091399006
168	4.088638265
169	4.081875303
170	4.078185396
171	4.075332945
172	4.071859139
173	4.066922032
174	4.054478495
175	4.048437746
176	4.047479034
177	4.035118239
178	4.032878426
179	4.030664782
180	4.020596148
181	4.012153666
182	4.005109454
183	3.989681112
184	3.989037919
185	3.982501161
186	3.973713286
187	3.96211488
188	3.950641062
189	3.945546867
190	3.944182246
191	3.94018823
192	3.932358563
193	3.918926618
194	3.907154868
195	3.904436976
196	3.902893422
197	3.902262567
198	3.896838789
199	3.890220971
200	3.878850928
201	3.872950633
202	3.871706023
203	3.869039458
204	3.867427914
205	3.865904125
206	3.862700914
207	3.859110841
208	3.8585606
209	3.85685829
210	3.85414575
211	3.850097505
212	3.847405867
213	3.843723646
214	3.832063292
215	3.827563107
216	3.820932471
217	3.818098801
218	3.812036418
219	3.808323947
220	3.807442377
221	3.805464015
222	3.803175676
223	3.802023729
224	3.797816401
225	3.785281271
226	3.784825742
227	3.777589685
228	3.765891391
229	3.762084839
230	3.756165047
231	3.748542339
232	3.745220265
233	3.738535748
234	3.729158497
235	3.726445623
236	3.720830183
237	3.709490424
238	3.705528806
239	3.695307459
240	3.691935395
241	3.687403731
242	3.679850177
243	3.67204069
244	3.662038751
245	3.658354311
246	3.64908929
247	3.639042099
248	3.635125442
249	3.633330227
250	3.625306953
251	3.622798019
252	3.615834354
253	3.607038943
254	3.601143828
255	3.600296496
256	3.594713828
257	3.590258824
258	3.584862656
259	3.580583242
260	3.5788191
261	3.571769164
262	3.566722296
263	3.55948403
264	3.549107906
265	3.545088899
266	3.54417364
267	3.542295502
268	3.539540654
269	3.533681988
270	3.532079753
271	3.529255343
272	3.520663698
273	3.512713152
274	3.51188962
275	3.502632464
276	3.497138925
277	3.494177886
278	3.488784157
279	3.480304111
280	3.472465674
281	3.464225212
282	3.45848361
283	3.452722799
284	3.450554594
285	3.449313992
286	3.447222237
287	3.438830907
288	3.428866379
289	3.424304176
290	3.418360767
291	3.415541703
292	3.409463835
293	3.39746332
294	3.391882518
295	3.38540002
296	3.38251374
297	3.381641909
298	3.378907976
299	3.375995102
300	3.375593037
301	3.3727781
302	3.371928516
303	3.370268399
304	3.366119494
305	3.36264395
306	3.358996437
307	3.35152989
308	3.349626972
309	3.346320984
310	3.343485957
311	3.335162147
312	3.333276935
313	3.326618252
314	3.326441405
315	3.32561759
316	3.321734113
317	3.319857882
318	3.310683685
319	3.304040122
320	3.303185846
321	3.299892999
322	3.286841454
323	3.28247044
324	3.279951839
325	3.272430217
326	3.270196561
327	3.268542214
328	3.261963474
329	3.255513098
330	3.249537299
331	3.247053
332	3.245244676
333	3.243979604
334	3.238359091
335	3.231686403
336	3.229738081
337	3.228296734
338	3.224336583
339	3.215972228
340	3.212178072
341	3.207159456
342	3.196810252
343	3.193161216
344	3.190015485
345	3.185826878
346	3.179205583
347	3.174185951
348	3.167819139
349	3.167561039
350	3.163723865
351	3.161173422
352	3.160798351
353	3.151454837
354	3.145662217
355	3.139135328
356	3.134255574
357	3.129778413
358	3.128906446
359	3.128549255
360	3.120793391
361	3.118855688
362	3.113791728
363	3.113093697
364	3.108018323
365	3.104053993
366	3.097730357
367	3.095495263
368	3.094236529
369	3.091538743
370	3.084800769
371	3.077958512
372	3.075044121
373	3.072273622
374	3.066682033
375	3.059236572
376	3.058933595
377	3.055113334
378	3.05166586
379	3.048864137
380	3.043916277
381	3.040307709
382	3.037570228
383	3.036787751
384	3.034270002
385	3.030461694
386	3.027616689
387	3.027241749
388	3.02302617
389	3.01705473
390	3.01464404
391	3.008473341
392	3.006166516
393	3.003841375
394	3.001902819
395	3.001690984
396	2.997751957
397	2.995512585
398	2.990966089
399	2.988588314
400	2.986245936
401	2.980757732
402	2.975202652
403	2.970613875
404	2.969435961
405	2.967772154
406	2.961967807
407	2.957863962
408	2.957473164
409	2.955462677
410	2.953761555
411	2.947671052
412	2.945114148
413	2.939460089
414	2.937678732
415	2.934924453
416	2.931132195
417	2.927342471
418	2.925199257
419	2.924923801
420	2.921244853
421	2.917056405
422	2.913132606
423	2.908453209
424	2.90151419
425	2.898792494
426	2.89314828
427	2.887406443
428	2.884212842
429	2.881104221
430	2.8808634
431	2.879136593
432	2.877418913
433	2.87351461
434	2.865953945
435	2.862877768
436	2.860355714
437	2.858315397
438	2.855560086
439	2.852326334
440	2.851893042
441	2.85169552
442	2.848051746
443	2.847601663
444	2.845810899
445	2.843764725
446	2.841754594
447	2.839989486
448	2.836793653
449	2.830370432
450	2.8284553
451	2.825983505
452	2.81890705
453	2.815391921
454	2.807369787
455	2.806002183
456	2.80551426
457	2.802426283
458	2.800339802
459	2.797325224
460	2.795956092
461	2.793428519
462	2.789042932
463	2.785227015
464	2.782350415
465	2.776640796
466	2.773795025
467	2.76967134
468	2.765633983
469	2.761264617
470	2.758566344
471	2.757162524
472	2.756220856
473	2.754505788
474	2.75370931
475	2.749544832
476	2.748499447
477	2.744515408
478	2.742568899
479	2.740848531
480	2.735289271
481	2.733835272
482	2.727987739
483	2.726727528
484	2.724746433
485	2.724189354
486	2.721947271
487	2.721899132
488	2.71688686
489	2.71065281
490	2.708335041
491	2.70245562
492	2.699557464
493	2.698577411
494	2.694184171
495	2.690428709
496	2.689356799
497	2.68771753
498	2.684290221
499	2.683586144
500	2.681379632
501	2.679016668
502	2.676879582
503	2.674313294
504	2.672611436
505	2.672459136
506	2.672288091
507	2.67160312
508	2.670372249
509	2.667937771
510	2.665372698
511	2.660980973
512	2.660166692
513	2.659468706
514	2.656812447
515	2.652679734
516	2.647035433
517	2.642279137
518	2.641179983
519	2.641048124
520	2.63883754
521	2.6367439
522	2.634378241
523	2.633442767
524	2.631176987
525	2.627402928
526	2.626588255
527	2.625517508
528	2.625485166
529	2.619021539
530	2.61790487
531	2.61563714
532	2.614148993
533	2.613908409
534	2.613088776
535	2.611427889
536	2.603896158
537	2.601417246
538	2.596070828
539	2.595174597
540	2.59402333
541	2.591852611
542	2.590220848
543	2.590105033
544	2.588272675
545	2.58419584
546	2.582469011
547	2.577880492
548	2.571374698
549	2.570845253
550	2.566407599
551	2.565779287
552	2.564217865
553	2.561617743
554	2.558477464
555	2.558308524
556	2.555198125
557	2.550574904
558	2.547063123
559	2.544756916
560	2.541496192
561	2.54047563
562	2.537417653
563	2.533547006
564	2.533438885
565	2.531010383
566	2.527212561
567	2.522914386
568	2.52105509
569	2.518835574
570	2.517780437
571	2.517633235
572	2.517083743
573	2.513364456
574	2.511021973
575	2.507461575
576	2.506130645
577	2.505134226
578	2.504443525
579	2.503479497
580	2.502547664
581	2.498138451
582	2.496989244
583	2.493125423
584	2.491451945
585	2.486945251
586	2.483354096
587	2.480675447
588	2.479007124
589	2.478456668
590	2.477413212
591	2.473276889
592	2.46842031
593	2.464057627
594	2.463210766
595	2.458542635
596	2.454427799
597	2.451171898
598	2.450206286
599	2.449540878
600	2.447962115
601	2.443300238
602	2.438951166
603	2.435928752
604	2.434447372
605	2.430473362
606	2.428152748
607	2.424276166
608	2.42386837
609	2.419681493
610	2.418893687
611	2.417570013
612	2.415335273
613	2.409933056
614	2.40916136
615	2.409012421
616	2.403056238
617	2.402532723
618	2.402245522
619	2.399675127
620	2.397673547
621	2.396080923
622	2.393268644
623	2.392211502
624	2.389575541
625	2.389401378
626	2.388204056
627	2.383339023
628	2.38115262
629	2.379614263
630	2.379566165
631	2.378128841
632	2.376731599
633	2.375321925
634	2.374703285
635	2.371068969
636	2.370345187
637	2.363992481
638	2.361649811
639	2.360756725
640	2.359213073
641	2.354756434
642	2.354552191
643	2.351914884
644	2.351141881
645	2.350979014
646	2.348629917
647	2.347933563
648	2.34577376
649	2.343785076
650	2.338103931
651	2.335176369
652	2.334357718
653	2.333651246
654	2.330404788
655	2.329710752
656	2.329405311
657	2.327206374
658	2.324959354
659	2.323005015
660	2.321230315
661	2.317387162
662	2.317158853
663	2.315870726
664	2.313095477
665	2.312476923
666	2.309864896
667	2.308151312
668	2.306765908
669	2.306713942
670	2.3049449
671	2.30338012
672	2.300023829
673	2.298001298
674	2.296528515
675	2.292139424
676	2.288582278
677	2.288535326
678	2.288448737
679	2.287549912
680	2.28687971
681	2.284701855
682	2.282079769
683	2.280438195
684	2.280402546
685	2.279033834
686	2.275094585
687	2.274563004
688	2.273230218
689	2.268734189
690	2.267240357
691	2.266062403
692	2.262573522
693	2.262010268
694	2.261303377
695	2.260550411
696	2.259758622
697	2.259590745
698	2.256958462
699	2.25260674
700	2.251081291
701	2.250597052
702	2.247341985
703	2.242656464
704	2.241863744
705	2.241400516
706	2.240770942
707	2.236692614
708	2.233309192
709	2.23208887
710	2.231744747
711	2.230515077
712	2.228481751
713	2.227184362
714	2.223839207
715	2.220125782
716	2.21830899
717	2.216278987
718	2.212316265
719	2.210669918
720	2.207546954
721	2.204216958
722	2.203012859
723	2.196990085
724	2.191887428
725	2.187017058
726	2.183570254
727	2.181274684
728	2.180960218
729	2.179052348
730	2.173900895
731	2.171645336
732	2.16920661
733	2.16814669
734	2.16706722
735	2.166955806
736	2.165920231
737	2.162707485
738	2.161943993
739	2.158270465
740	2.156689583
741	2.152438505
742	2.148897703
743	2.148721446
744	2.147408035
745	2.146761282
746	2.144417549
747	2.141804305
748	2.140300154
749	2.137011807
750	2.136572814
751	2.132600011
752	2.131305807
753	2.130483344
754	2.129272033
755	2.12815433
756	2.127860295
757	2.12691917
758	2.123984418
759	2.123200669
760	2.121834878
761	2.120839695
762	2.119531711
763	2.117257834
764	2.109984681
765	2.108379942
766	2.105179954
767	2.104170442
768	2.101630078
769	2.099828436
770	2.099573684
771	2.098432407
772	2.097475798
773	2.093827793
774	2.092527762
775	2.092106197
776	2.088913046
777	2.083194356
778	2.082027053
779	2.077746886
780	2.076255531
781	2.074746582
782	2.072950221
783	2.070919362
784	2.06962098
785	2.065331639
786	2.063840216
787	2.062790516
788	2.062437377
789	2.061572549
790	2.060037826
791	2.059239519
792	2.05472601
793	2.05415912
794	2.052925982
795	2.051026928
796	2.047146181
797	2.046657411
798	2.044059692
799	2.040597669
800	2.040361213
801	2.038536012
802	2.038413785
803	2.034226467
804	2.030958708
805	2.029962907
806	2.029572684
807	2.025408896
808	2.022526361
809	2.020038517
810	2.016002162
811	2.01091393
812	2.009426726
813	2.007781275
814	2.006007223
815	2.001767264
816	2.000603508
817	1.999769808
818	1.997377877
819	1.992837711
820	1.992534192
821	1.990756021
822	1.988234207
823	1.987035559
824	1.984970258
825	1.983932124
826	1.983896547
827	1.983310683
828	1.98160184
829	1.978454131
830	1.977117637
831	1.974981201
832	1.972592903
833	1.971106497
834	1.969104463
835	1.968513847
836	1.96825619
837	1.966631249
838	1.96659099
839	1.964486791
840	1.963602774
841	1.963581128
842	1.960805016
843	1.95970627
844	1.958361653
845	1.956517479
846	1.955915171
847	1.953187448
848	1.95106213
849	1.949476372
850	1.945593203
851	1.945135796
852	1.941884696
853	1.93942061
854	1.937032169
855	1.934534688
856	1.931815484
857	1.928284155
858	1.926591167
859	1.926077726
860	1.925997649
861	1.924841114
862	1.923837141
863	1.923472077
864	1.922723527
865	1.921361363
866	1.92057293
867	1.917194193
868	1.916646706
869	1.915230489
870	1.911547005
871	1.908132207
872	1.907395786
873	1.905307642
874	1.903876882
875	1.902564111
876	1.901358898
877	1.899320457
878	1.897416647
879	1.897254986
880	1.89620525
881	1.894200623
882	1.893588223
883	1.890087625
884	1.888099212
885	1.887318784
886	1.884332796
887	1.881960032
888	1.877362008
889	1.876420833
890	1.875213173
891	1.874558649
892	1.874007991
893	1.869999433
894	1.866775219
895	1.863686337
896	1.862354789
897	1.861230662
898	1.859602596
899	1.858055218
900	1.857403794
901	1.854558552
902	1.852802565
903	1.850738785
904	1.847582141
905	1.846153624
906	1.845827684
907	1.845345492
908	1.844753447
909	1.84126417
910	1.841189318
911	1.838824619
912	1.836210624
913	1.832863309
914	1.831658366
915	1.830173665
916	1.828509205
917	1.827040171
918	1.826062264
919	1.824608482
920	1.823665583
921	1.823472143
922	1.822876821
923	1.82206798
924	1.820148934
925	1.816675261
926	1.815775859
927	1.812556013
928	1.809286613
929	1.806758405
930	1.804522193
931	1.8037554
932	1.803734375
933	1.802660965
934	1.80155382
935	1.800425162
936	1.799747587
937	1.79904303
938	1.796752879
939	1.79600304
940	1.795406242
941	1.794775383
942	1.791620651
943	1.791280485
944	1.790091062
945	1.787853139
946	1.787119758
947	1.785895985
948	1.784200501
949	1.783283995
950	1.782919349
951	1.777045822
952	1.774021702
953	1.773336461
954	1.772874529
955	1.771831803
956	1.7691521
957	1.7666583
958	1.766308141
959	1.765797602
960	1.76537674
961	1.763807323
962	1.76070119
963	1.759636738
964	1.759517911
965	1.757098768
966	1.755436236
967	1.753623159
968	1.752192134
969	1.750065359
970	1.748337021
971	1.747050326
972	1.746106482
973	1.745311677
974	1.743718794
975	1.740791671
976	1.740247359
977	1.738592021
978	1.73775392
979	1.733882822
980	1.732325911
981	1.731237384
982	1.730918904
983	1.730816122
984	1.730428781
985	1.72837959
986	1.728066485
987	1.725544245
988	1.724770673
989	1.724478149
990	1.723565846
991	1.721892144
992	1.721734086
993	1.721593929
994	1.719763302
995	1.719054051
996	1.718274579
997	1.717249566
998	1.714189289
999	1.711843567
